Tamanho,Bubble Sort,Insertion Sort,Merge Sort
25,0.000013,0.000006,0.000021
25,0.000010,0.000004,0.000013
25,0.000007,0.000004,0.000010
25,0.000006,0.000003,0.000009
25,0.000006,0.000004,0.000009
25,0.000006,0.000003,0.000008
25,0.000006,0.000003,0.000008
25,0.000005,0.000003,0.000009
25,0.000006,0.000003,0.000008
25,0.000006,0.000003,0.000008
100,0.000118,0.000038,0.000054
100,0.000109,0.000038,0.000050
100,0.000102,0.000036,0.000045
100,0.000097,0.000036,0.000045
100,0.000095,0.000036,0.000043
100,0.000095,0.000036,0.000041
100,0.000094,0.000035,0.000042
100,0.000092,0.000035,0.000040
100,0.000118,0.000035,0.000041
100,0.000092,0.000035,0.000040
1000,0.003671,0.001200,0.000250
1000,0.002849,0.000976,0.000198
1000,0.002387,0.000897,0.000172
1000,0.002158,0.000781,0.000177
1000,0.002107,0.000773,0.000158
1000,0.002018,0.000749,0.000172
1000,0.001961,0.000726,0.000175
1000,0.001854,0.000737,0.000151
1000,0.001827,0.000677,0.000143
1000,0.001848,0.000666,0.000139
3000,0.015178,0.005531,0.000441
3000,0.014670,0.005343,0.000430
3000,0.015373,0.006723,0.000432
3000,0.015067,0.005500,0.000421
3000,0.014725,0.005415,0.000417
3000,0.015162,0.005429,0.000456
3000,0.014862,0.005569,0.000420
3000,0.015020,0.005683,0.000421
3000,0.015257,0.005229,0.000550
3000,0.014944,0.005257,0.000468
7000,0.095171,0.027574,0.001026
7000,0.100088,0.028136,0.001016
7000,0.101083,0.030175,0.001067
7000,0.098213,0.028216,0.001013
7000,0.098750,0.030320,0.001040
7000,0.105775,0.030204,0.001070
7000,0.098989,0.028914,0.001079
7000,0.097084,0.027918,0.001040
7000,0.097577,0.039410,0.001073
7000,0.107866,0.029745,0.001128
10000,0.232905,0.065307,0.001703
10000,0.225556,0.063756,0.001642
10000,0.229994,0.076581,0.002396
10000,0.262844,0.079093,0.001841
10000,0.256353,0.069629,0.001835
10000,0.233022,0.070363,0.002539
10000,0.239005,0.066644,0.001672
10000,0.240540,0.067436,0.001677
10000,0.233106,0.068416,0.001629
10000,0.210605,0.057536,0.001530
15000,0.540777,0.137445,0.002478
15000,0.535112,0.128658,0.002379
15000,0.530806,0.134686,0.002447
15000,0.507237,0.130955,0.002570
15000,0.520402,0.128722,0.002420
15000,0.519179,0.137371,0.002467
15000,0.555671,0.132371,0.002401
15000,0.503608,0.128556,0.002394
15000,0.529459,0.155924,0.002510
15000,0.577544,0.139558,0.002538
20000,0.991554,0.236392,0.003321
20000,0.989916,0.253542,0.003660
20000,1.028490,0.251549,0.003724
20000,1.217694,0.289978,0.003638
20000,1.074704,0.261961,0.003427
20000,1.037412,0.285554,0.003723
20000,1.073830,0.300295,0.004492
20000,1.086520,0.286381,0.003628
20000,1.155057,0.287070,0.004311
20000,1.083312,0.270995,0.003635
