Caso,Bubble Sort,Insertion Sort,Merge Sort
Pior,0.001849,0.001314,0.000092
Pior,0.001862,0.001343,0.000088
Pior,0.001889,0.001324,0.000101
Pior,0.002202,0.001327,0.000090
Pior,0.001937,0.001349,0.000089
Pior,0.001983,0.001577,0.000169
Pior,0.001933,0.001378,0.000092
Pior,0.001863,0.001446,0.000089
Pior,0.001896,0.001490,0.000096
Pior,0.002034,0.001359,0.000094
Melhor,0.001274,0.000006,0.000090
Melhor,0.001235,0.000004,0.000083
Melhor,0.001192,0.000004,0.000083
Melhor,0.001205,0.000004,0.000081
Melhor,0.001152,0.000004,0.000081
Melhor,0.001156,0.000004,0.000100
Melhor,0.001236,0.000003,0.000103
Melhor,0.001152,0.000004,0.000082
Melhor,0.001190,0.000004,0.000084
Melhor,0.001184,0.000003,0.000096
