Tamanho,Quick Sort,Heap Sort
10,0.000005,0.000004
10,0.000003,0.000003
10,0.000002,0.000002
10,0.000002,0.000002
10,0.000002,0.000002
10,0.000003,0.000003
10,0.000002,0.000003
10,0.000003,0.000003
10,0.000002,0.000003
10,0.000003,0.000003
100,0.000038,0.000058
100,0.000032,0.000053
100,0.000025,0.000045
100,0.000022,0.000044
100,0.000020,0.000039
100,0.000019,0.000041
100,0.000019,0.000041
100,0.000019,0.000039
100,0.000018,0.000040
100,0.000018,0.000040
1000,0.000506,0.000612
1000,0.000292,0.000566
1000,0.000278,0.000435
1000,0.000254,0.000455
1000,0.000249,0.000495
1000,0.000250,0.000468
1000,0.000185,0.000320
1000,0.000188,0.000321
1000,0.000181,0.000321
1000,0.000181,0.000320
10000,0.002574,0.003528
10000,0.001843,0.003017
10000,0.001612,0.002465
10000,0.001430,0.002350
10000,0.001215,0.002195
10000,0.001069,0.001966
10000,0.001099,0.001896
10000,0.001045,0.001867
10000,0.001078,0.001927
10000,0.001042,0.001938
35000,0.003969,0.007766
35000,0.003915,0.007748
35000,0.004153,0.007724
35000,0.003941,0.007957
35000,0.004763,0.009093
35000,0.003941,0.007807
35000,0.004073,0.007766
35000,0.003913,0.007989
35000,0.003959,0.007872
35000,0.004057,0.007748
70000,0.008662,0.017145
70000,0.008509,0.018087
70000,0.009055,0.017906
70000,0.008852,0.017757
70000,0.008717,0.017710
70000,0.008726,0.019507
70000,0.008959,0.017861
70000,0.008820,0.018234
70000,0.008817,0.017952
70000,0.008919,0.018460
100000,0.013222,0.026826
100000,0.013181,0.026667
100000,0.013183,0.028919
100000,0.013310,0.026324
100000,0.013440,0.026786
100000,0.013009,0.027492
100000,0.012925,0.026830
100000,0.013095,0.026829
100000,0.013254,0.027333
100000,0.013274,0.026927
